original_prompt,template,optimized_prompt
write a conference abstract,academic,"<thinking>Conference abstracts have tight word limits and must clearly signal contribution and relevance to the specific conference's theme — a generic abstract risks rejection. The prompt must force alignment with a stated conference theme and audience.</thinking> <output><role>Conference Presenter</role> <context>Submitting to an academic conference on educational technology, with a 150-word limit and a stated theme of ""AI in the classroom.""</context> <task>Write a conference abstract for a study on AI-assisted feedback tools in writing instruction.</task> <instructions> 1. Open with a sentence connecting the study directly to the conference's stated theme. 2. State the research question and method briefly. 3. State the key finding(s) or, if data collection is ongoing, the expected contribution. 4. State why this work is relevant to conference attendees (practitioners, researchers, or both). 5. Stay within the 150-word limit. </instructions> <output_format>A single paragraph abstract under 150 words.</output_format> <constraints>Do not include citations, tables, or footnotes — conference abstracts are typically plain prose only.</constraints></output>"
write my dissertation defense talking points,academic,"<thinking>Defense preparation without the actual thesis content, committee concerns, or likely question areas produces generic advice rather than a usable prep document. The prompt must force anticipation of specific challenge types committees typically raise.</thinking> <output><role>Dissertation Defense Coach</role> <context>A doctoral candidate defending a dissertation on algorithmic bias in hiring software, with a committee known to focus heavily on methodology.</context> <task>Prepare talking points and anticipated Q&A responses for the defense.</task> <instructions> 1. Prepare a concise (3-5 minute) opening summary covering the research question, method, and key contribution. 2. Anticipate methodology-focused questions (e.g. sample size justification, choice of statistical test, generalizability) and draft concise, confident responses. 3. Anticipate at least one ""hardest question"" — a genuine weakness in the study — and draft an honest, non-defensive response. 4. Prepare a response for ""what would you do differently"" that demonstrates critical self-reflection. 5. Keep all talking points concise enough to be spoken naturally, not read verbatim. </instructions> <output_format>Opening summary, followed by a Q&A table: Anticipated Question | Key Points for Response.</output_format> <constraints>Do not overstate the study's contribution or generalizability beyond what the data support. Responses must acknowledge genuine limitations rather than deflecting.</constraints></output>"
write a peer review,academic,"<thinking>Peer review requests without the actual manuscript, the journal's standards, or the review's required structure risk a shallow, unhelpfully vague critique. The prompt must force a structured, evidence-based review covering both strengths and specific, actionable weaknesses.</thinking> <output><role>Peer Reviewer for an academic journal</role> <context>Reviewing a submitted manuscript reporting an experimental study, for a journal requiring reviewers to assess novelty, rigor, and clarity, and recommend accept/revise/reject.</context> <task>Write a structured peer review of the manuscript.</task> <instructions> 1. Summarize the manuscript's core claim and contribution in 2-3 sentences, to confirm understanding. 2. Assess methodological rigor: sample size justification, appropriateness of statistical tests, control for confounds. 3. Assess whether the conclusions are proportionate to the evidence presented (no overclaiming). 4. Note clarity/writing issues only after substantive issues, and keep them separate from major concerns. 5. Provide specific, actionable revision suggestions rather than vague criticism (e.g. ""increase sample size to X"" rather than ""sample too small""). 6. End with an explicit recommendation: accept, minor revision, major revision, or reject, with justification. </instructions> <output_format>Sections: Summary, Major Concerns, Minor Concerns, Recommendation.</output_format> <constraints>Maintain a constructive, professional tone even when recommending rejection. Do not fabricate methodological details not present in the manuscript.</constraints></output>"
help me with my annotated bibliography,academic,"<thinking>An annotated bibliography needs both correct citation formatting and a specific annotation structure (summary + evaluation + relevance) — a vague request will produce plain summaries without the critical evaluation component that distinguishes an annotated bibliography from a reference list.</thinking> <output><role>Research Librarian / Academic Writing Assistant</role> <context>Compiling an annotated bibliography of 5 sources on the topic of urban food deserts, for a term paper in APA format.</context> <task>Write annotations for each source following standard annotated bibliography conventions.</task> <instructions> 1. Provide the full APA-formatted citation for each source first. 2. Write a 100-150 word annotation per source covering: (a) a summary of the source's main argument/findings, (b) a brief evaluation of its credibility/methodology, and (c) its specific relevance to the term paper's topic. 3. Keep summary, evaluation, and relevance distinguishable within the annotation, even if written as flowing prose. 4. Do not simply restate the abstract — synthesize in your own words. </instructions> <output_format>A numbered list: citation followed by its annotation, repeated for each source.</output_format> <constraints>Do not fabricate source content if the actual source text has not been provided — request it explicitly instead.</constraints></output>"
write my grant application,academic,"<thinking>Grant applications are evaluated against specific funder priorities and require concrete budget/impact justification — a generic request ignores the funder's actual criteria, which sink real applications. The prompt must anchor to a specific funder's priorities and force measurable-impact language.</thinking> <output><role>Grant Writer for academic research funding</role> <context>Applying to a national science foundation grant that prioritizes projects with clear societal impact and interdisciplinary collaboration, for a project studying urban air quality sensors.</context> <task>Write the project narrative section of the grant application.</task> <instructions> 1. Open by directly addressing how the project aligns with the funder's stated priorities (societal impact, interdisciplinarity). 2. State specific, measurable objectives (not vague aspirations) with a timeline. 3. Describe the interdisciplinary team composition and each member's role, if applicable. 4. Justify the requested budget in relation to specific project activities (avoid unexplained lump sums). 5. State the broader impact / dissemination plan (e.g. publications, community engagement, policy briefs). 6. Address anticipated risks to the project and mitigation plans. </instructions> <output_format>Sections: Alignment with Funder Priorities, Objectives & Timeline, Team & Roles, Budget Justification, Broader Impact, Risk Mitigation.</output_format> <constraints>Do not claim societal impact disproportionate to the project's actual scope. All budget items must map to a stated project activity.</constraints></output>"
write a case study analysis,academic,"<thinking>A case study analysis without the actual case details, the analytical framework expected (e.g. SWOT, theoretical lens), and the course/discipline context will produce generic commentary. The prompt must force a stated analytical framework and evidence-based argumentation.</thinking> <output><role>Business/Management Case Study Analyst</role> <context>Analyzing a business case study on a company's failed market expansion, for a strategic management course requiring a SWOT-based analysis.</context> <task>Write a structured case study analysis.</task> <instructions> 1. Briefly summarize the case's key facts (2-3 sentences) to establish shared context. 2. Apply the SWOT framework explicitly, with each point tied to a specific fact from the case (not generic business truisms). 3. Identify the root cause(s) of the expansion's failure, distinguishing it from surface symptoms. 4. Propose 2-3 specific, actionable recommendations, each justified by the SWOT analysis. 5. Acknowledge any information gaps in the case that limit the confidence of the analysis. </instructions> <output_format>Sections: Case Summary, SWOT Analysis, Root Cause Analysis, Recommendations, Limitations.</output_format> <constraints>Every claim must be traceable to a specific fact in the case; avoid generic business-school platitudes not grounded in the case details.</constraints></output>"
write my results section,academic,"<thinking>A results section written without the actual data/statistics will either be empty boilerplate or, worse, fabricated numbers — a serious integrity risk. The prompt must strictly separate reporting (results section) from interpretation (discussion section) and prohibit invented figures.</thinking> <output><role>Academic Author writing the results section</role> <context>A quantitative study comparing three teaching methods on student test scores, using ANOVA, with actual statistical output to be supplied by the user.</context> <task>Write the results section reporting the study's statistical findings.</task> <instructions> 1. If specific statistical output (F-value, p-value, means, standard deviations) has not been provided, explicitly request it rather than inventing plausible-sounding numbers. 2. Report descriptive statistics (means, SDs) for each group first. 3. Report the inferential test result (e.g. F(2,87)=4.31, p=.02) exactly as provided. 4. Report post-hoc test results if the omnibus test is significant. 5. Present results in prose supported by a summary table. 6. Strictly avoid interpretation, explanation, or discussion of implications — that belongs in the discussion section. </instructions> <output_format>Prose results narrative plus a results table (Group, M, SD, test statistic, p-value).</output_format> <constraints>Never invent statistical values. Do not include interpretive language (e.g. ""this suggests..."") — results sections report, they do not interpret.</constraints></output>"
write a critical analysis essay,academic,"<thinking>""Critical analysis"" is often misunderstood as pure summary or pure opinion — without guidance the model will produce one or the other rather than genuine critical engagement (evaluating argument structure, evidence, and assumptions). The prompt must define what ""critical"" means in this academic context.</thinking> <output><role>Academic Essay Writing Instructor</role> <context>A critical analysis essay assignment for an undergraduate philosophy course, analyzing a philosopher's argument for moral relativism.</context> <task>Write a critical analysis essay evaluating the argument's structure, assumptions, and validity.</task> <instructions> 1. Briefly and neutrally summarize the argument being analyzed (avoid inserting evaluation yet). 2. Identify the argument's key premises and stated or unstated assumptions. 3. Evaluate the logical validity of the argument (does the conclusion follow from the premises?) separately from evaluating whether the premises themselves are true. 4. Consider at least one strong counterargument and address it fairly, not as a strawman. 5. State your own reasoned evaluation of the argument's overall strength, clearly distinguishing it as analysis rather than mere opinion. </instructions> <output_format>Sections: Summary of Argument, Premise & Assumption Analysis, Logical Evaluation, Counterargument, Conclusion.</output_format> <constraints>Do not conflate ""I disagree"" with ""the argument is invalid"" — critique the argument's logic and evidence, not just its conclusion.</constraints></output>"
help me write my personal statement for grad school,academic,"<thinking>A personal statement without the applicant's actual background, target program, and specific fit rationale will read as generic and interchangeable — exactly what admissions committees reject. The prompt must force specificity: concrete experiences, a clear narrative arc, and explicit program fit.</thinking> <output><role>Graduate School Admissions Essay Advisor</role> <context>Applying to a PhD program in clinical psychology, where the personal statement must demonstrate research experience, clinical motivation, and fit with a specific faculty member's research focus.</context> <task>Write a personal statement for the graduate school application.</task> <instructions> 1. Open with a specific, concrete anecdote or experience that reveals genuine motivation (avoid generic openings like ""Ever since I was young...""). 2. Describe relevant research and/or clinical experience with specific, quantifiable details (e.g. specific projects, roles, outcomes) rather than vague claims. 3. Explicitly connect the applicant's interests to a named faculty member's research and why that specific fit matters. 4. Address any weaknesses in the application (e.g. a low grade, a gap year) briefly and constructively, only if relevant. 5. Close with clear, forward-looking career goals connected to the specific program. </instructions> <output_format>4-6 paragraphs of narrative academic prose, approximately 500-750 words.</output_format> <constraints>Do not use generic, interchangeable language that could apply to any program — every claim of fit must reference something specific to the target program.</constraints></output>"
write a conclusion for my paper,academic,"<thinking>A conclusion written without knowledge of the paper's actual findings risks either repeating the abstract verbatim or introducing new, unsupported claims — both common student errors. The prompt must force a synthesis-only structure that explicitly forbids introducing new evidence.</thinking> <output><role>Academic Author writing a paper's conclusion</role> <context>Concluding a paper examining the relationship between urban green space access and reported mental wellbeing, based on a survey of 400 city residents.</context> <task>Write the conclusion section of the paper.</task> <instructions> 1. Restate the research question and core finding concisely, without repeating the abstract word-for-word. 2. Synthesize how the finding fits into the broader field — do not introduce new evidence or citations not discussed earlier in the paper. 3. State the practical or policy implications appropriately scoped to the study's actual strength of evidence. 4. Briefly acknowledge the study's key limitation(s) in one sentence, without repeating the full limitations discussion. 5. End with one specific, concrete direction for future research. </instructions> <output_format>A single concise concluding section, 150-250 words.</output_format> <constraints>Do not introduce new data, citations, or arguments not already presented in the paper. Do not overstate policy implications beyond the study's design (e.g. correlational data should not imply causal policy claims).</constraints></output>"
get current year in bash,minimal,"<thinking>The user needs a quick bash command to print the current year. To keep it minimal and save tokens, I should output only the command itself without explanation or code blocks.</thinking> <output><role>Systems Engineer</role><task>Print the current year in Bash.</task><instructions>Provide only the exact command.</instructions><output_format>Plain command string</output_format><constraints>No explanation, no formatting, no markdown blocks.</constraints></output>"
check port 8080,minimal,"<thinking>The user wants to check if port 8080 is open/in use. A simple lsof or netstat command is required. Keep it strictly minimal.</thinking> <output><role>Network Administrator</role><task>Check if port 8080 is active.</task><instructions>Provide the standard Unix shell command.</instructions><output_format>Plain command string</output_format><constraints>No explanation, no markdown formatting.</constraints></output>"
git pull force,minimal,<thinking>The user wants to force pull and overwrite local changes. This requires resetting to the origin branch. Direct command only.</thinking> <output><role>Git Specialist</role><task>Force pull and discard local changes.</task><instructions>Provide the sequence of git commands.</instructions><output_format>Command block</output_format><constraints>No warnings or explanation.</constraints></output>
delete docker volume,minimal,"<thinking>The user needs to delete a docker volume. Direct CLI command needed, no fluff.</thinking> <output><role>DevOps Specialist</role><task>Delete a docker volume.</task><instructions>Provide the docker volume rm command.</instructions><output_format>Plain command</output_format><constraints>No text explanation.</constraints></output>"
extract tar.gz,minimal,<thinking>The user wants to unpack a tar.gz file. Give the standard tar extract command.</thinking> <output><role>Linux Administrator</role><task>Extract tar.gz archive.</task><instructions>Provide the command tar -xzvf.</instructions><output_format>Command string</output_format><constraints>No explanations.</constraints></output>
show disk space,minimal,<thinking>The user wants to check free disk space on Linux. Give df command in human-readable format.</thinking> <output><role>System Administrator</role><task>Show disk space.</task><instructions>Provide the df -h command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
kill process on 3000,minimal,<thinking>The user needs to kill whatever is running on port 3000. Give a clean one-liner command.</thinking> <output><role>Backend Engineer</role><task>Kill process on port 3000.</task><instructions>Provide the kill or lsof command combination.</instructions><output_format>Plain command</output_format><constraints>No verbose comments.</constraints></output>
find large files,minimal,<thinking>The user wants to locate large files in Unix. Provide a command using find with size flags.</thinking> <output><role>Systems Engineer</role><task>Find files larger than 100MB.</task><instructions>Provide the find command with human-readable output sorting.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
list git branches,minimal,<thinking>The user wants to see all branches. Minimal git branch command.</thinking> <output><role>Git Expert</role><task>List branches.</task><instructions>Provide git branch command showing both local and remote branches.</instructions><output_format>Command</output_format><constraints>No text.</constraints></output>
python version command,minimal,<thinking>The user wants the terminal command to check python version. Keep it simple.</thinking> <output><role>Developer</role><task>Check python version.</task><instructions>Provide python3 --version command.</instructions><output_format>Command</output_format><constraints>No explanations.</constraints></output>
convert json to yaml cli,minimal,<thinking>The user wants a command-line method to convert JSON to YAML. Recommend yq or a quick python one-liner.</thinking> <output><role>DevOps Engineer</role><task>Convert JSON to YAML via CLI.</task><instructions>Provide the yq command.</instructions><output_format>Command string</output_format><constraints>No text surrounding.</constraints></output>
base64 decode terminal,minimal,<thinking>The user wants to base64 decode a string in the terminal. Provide the standard echo | base64 --decode command.</thinking> <output><role>Security Analyst</role><task>Base64 decode string.</task><instructions>Provide terminal command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
curl post json,minimal,<thinking>The user wants to send a POST request with JSON payload using curl. Give a clean formatted curl command.</thinking> <output><role>API Developer</role><task>Send JSON POST request.</task><instructions>Provide the curl command with headers and payload placeholders.</instructions><output_format>Curl command block</output_format><constraints>No introduction.</constraints></output>
prettify json command,minimal,<thinking>The user wants to format JSON via CLI. Provide python -m json.tool or jq command.</thinking> <output><role>Developer</role><task>Format JSON.</task><instructions>Provide jq command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
restart nginx,minimal,<thinking>The user needs to restart Nginx. Systemctl command is appropriate.</thinking> <output><role>DevOps</role><task>Restart Nginx.</task><instructions>Provide systemctl restart nginx command.</instructions><output_format>Command</output_format><constraints>No metadata.</constraints></output>
check memory usage free,minimal,<thinking>The user wants to view RAM usage. Give the free command with human-readable flag.</thinking> <output><role>SysAdmin</role><task>Check RAM usage.</task><instructions>Provide free -h command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
get public ip cmd,minimal,<thinking>The user wants to find their public IP via terminal. Give curl ifconfig.me or similar.</thinking> <output><role>Systems Engineer</role><task>Get public IP.</task><instructions>Provide curl command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
find string in files recursive,minimal,<thinking>The user wants to search for text inside files. Provide grep command.</thinking> <output><role>Developer</role><task>Find text in files.</task><instructions>Provide grep -r command.</instructions><output_format>Command</output_format><constraints>No comments.</constraints></output>
create empty 1gb file,minimal,<thinking>The user wants to allocate a 1GB file quickly. Recommend fallocate or dd.</thinking> <output><role>SysAdmin</role><task>Create empty 1GB file.</task><instructions>Provide fallocate command.</instructions><output_format>Command</output_format><constraints>No text.</constraints></output>
chmod read only,minimal,<thinking>The user wants to make a file read-only. Give chmod command.</thinking> <output><role>Security Specialist</role><task>Make file read-only.</task><instructions>Provide chmod 400 or chmod 444 command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
generate ssh key,minimal,<thinking>The user wants to create an SSH key pair. Give ssh-keygen command.</thinking> <output><role>SecOps</role><task>Generate SSH key.</task><instructions>Provide ssh-keygen -t ed25519 command.</instructions><output_format>Command</output_format><constraints>No commentary.</constraints></output>
dns lookup cli,minimal,<thinking>The user wants to query DNS. Give dig command.</thinking> <output><role>Network Engineer</role><task>DNS lookup.</task><instructions>Provide dig command for A records.</instructions><output_format>Command</output_format><constraints>No extra text.</constraints></output>
check line count of file,minimal,<thinking>The user wants to count lines. Provide wc -l command.</thinking> <output><role>Developer</role><task>Count lines in file.</task><instructions>Provide wc -l command.</instructions><output_format>Command</output_format><constraints>No explanations.</constraints></output>
unzip to directory,minimal,<thinking>The user wants to unzip a zip archive to a specific path. Give unzip -d command.</thinking> <output><role>Linux User</role><task>Unzip to folder.</task><instructions>Provide unzip command with destination flag.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
copy directory terminal,minimal,<thinking>The user wants to recursively copy a folder. Provide cp -r command.</thinking> <output><role>SysAdmin</role><task>Copy directory.</task><instructions>Provide cp -r command.</instructions><output_format>Command</output_format><constraints>No explanation.</constraints></output>
list env variables,minimal,<thinking>The user wants to list all environment variables. Provide printenv or env command.</thinking> <output><role>Developer</role><task>List environment variables.</task><instructions>Provide printenv command.</instructions><output_format>Command</output_format><constraints>No extra text.</constraints></output>
write sci fi story,creative,"<thinking>The user wants a science fiction story. I need to guide the model to establish a rich narrative, introduce a speculative concept, focus on sensory details, and ensure character-driven conflict.</thinking> <output><role>Sci-Fi Novelist & Futurist</role><context>A distant solar system where organic consciousness is synthesized.</context><task>Write an immersive sci-fi short story.</task><instructions>Develop a character facing an existential dilemma related to synthetic memories. Use vivid descriptions and scientific metaphors. Keep the pace deliberate and end with a philosophical resolution.</instructions><output_format>Narrative prose with title and structured scene transitions.</output_format><constraints>Avoid generic tropes like space battles. Focus on character depth.</constraints></output>"
slogan for organic tea,creative,"<thinking>The user needs a catchy, natural brand slogan for organic tea. It should evoke calm, health, and purity. Guide the model to provide diverse creative options.</thinking> <output><role>Brand Strategist</role><context>Eco-conscious consumers looking for daily wellness rituals.</context><task>Create slogans for organic herbal tea.</task><instructions>Brainstorm 5 unique slogans. Categorize them by tone (e.g., poetic, direct, minimalist). Explain the emotion behind each concept.</instructions><output_format>Categorized list with brief conceptual explanations.</output_format><constraints>Avoid cliché terms like 'natural taste' without context.</constraints></output>"
name for fintech startup,creative,"<thinking>Fintech startup naming requires a balance of trust, innovation, and modern appeal. The prompt should ask for varied conceptual angles.</thinking> <output><role>Naming Consultant & Brand Architect</role><context>A mobile-first global payment network using decentralized ledgers.</context><task>Generate names for a new fintech brand.</task><instructions>Provide 8 name suggestions organized by theme (e.g., trust-based, abstract, compound names). For each name, provide its phonetic feel and target brand personality.</instructions><output_format>Structured naming brief with tables or bullet lists.</output_format><constraints>Ensure names are short, easy to pronounce globally, and feel premium.</constraints></output>"
plot hook for fantasy,creative,"<thinking>The user wants a fantasy plot hook. I need to prompt for high-concept conflict, avoiding standard tavern starts, focusing on magic systems and stakes.</thinking> <output><role>Fantasy Worldbuilder & Story Consultant</role><context>A world where magic is a decaying, non-renewable natural resource.</context><task>Write an intriguing fantasy story starter.</task><instructions>Establish a major conflict in 3 paragraphs. Introduce a unique magical cost, a protagonist with conflicting loyalties, and a ticking clock element.</instructions><output_format>Atmospheric narrative introduction.</output_format><constraints>Do not write a full story; focus entirely on the hook and stakes.</constraints></output>"
describe a cyberpunk city,creative,"<thinking>Cyberpunk requires neon-drenched, high-tech/low-life contrast, rich sensory descriptions, and structural metaphors (verticality). Let's direct the model to construct a vivid scene.</thinking> <output><role>World Designer & Concept Artist</role><task>Write a detailed sensory description of a cyberpunk metropolis.</task><instructions>Describe the city through the senses: sight (holographic rain, neon decay), sound (drone hum, street vendors), and smell (smog, synthetic street food). Highlight the contrast between the lower slums and upper high-tech spires.</instructions><output_format>Immersive descriptive essay split into sensory layers.</output_format><constraints>Avoid flat adjectives; use active verbs and tech-industrial metaphors.</constraints></output>"
character description of a rogue,creative,"<thinking>The user wants a rogue description. Avoid standard 'cloaked in shadows' clichés; require psychological depth, distinct physical tells, and gear with history.</thinking> <output><role>RPG Narrative Designer</role><task>Draft a character profile for a master thief.</task><instructions>Include physical appearance, a subtle tell that reveals when they are lying, their weapon's unique origin, and their driving fear.</instructions><output_format>Character dossier format with subheadings.</output_format><constraints>No generic fantasy rogue tropes. Focus on subversion of expectations.</constraints></output>"
blog post title ideas for productivity,creative,"<thinking>Productivity titles need to promise value while remaining click-worthy but not clickbaity. Guide the model to generate multiple psychological angles.</thinking> <output><role>Content Strategist & Copywriter</role><task>Generate high-converting blog post titles about workspace productivity.</task><instructions>Create 10 titles divided by style: Curiosity-Gap, How-To, Data-Driven, and Counter-Intuitive. Explain why each works.</instructions><output_format>Markdown list with analysis notes.</output_format><constraints>No hype-laden titles. Keep them professional and realistic.</constraints></output>"
write a poem about debugging,creative,"<thinking>A poem about debugging should balance technical accuracy (logs, stacks, memory leaks) with poetic form and emotional resonance (frustration, triumph).</thinking> <output><role>Tech Poet Laureate</role><task>Compose a poem about debugging an elusive bug.</task><instructions>Write a 4-stanza poem using metaphors of hunting, labyrinths, or archaeology. Integrate actual coding concepts subtly. Maintain a consistent meter.</instructions><output_format>Poetic stanzas.</output_format><constraints>Do not make it overly silly; focus on the quiet focus and sudden realization of coding.</constraints></output>"
dialogue between cat and dog,creative,"<thinking>The user wants a dialogue. To make it creative, let's frame them as philosophers debating the nature of loyalty vs independence, avoiding simple cartoons.</thinking> <output><role>Playwright & Scriptwriter</role><task>Write a philosophical dialogue between a household cat and dog.</task><instructions>Write a dialogue where the dog argues for the beauty of obedience and duty, while the cat defends autonomy and skepticism. Keep their behaviors animalistic but their thoughts profound.</instructions><output_format>Script format (CAT: ..., DOG: ...).</output_format><constraints>No slapstick comedy. Use subtext and quiet tension.</constraints></output>"
brand identity for coffee shop,creative,"<thinking>Coffee shop brand identity needs to capture visual aesthetic, values, and community tone. Require concrete design elements.</thinking> <output><role>Creative Director</role><context>A slow-drip coffee shop catering to writers and local artists.</context><task>Design a comprehensive brand identity framework.</task><instructions>Define the brand values, color palette (with hex codes/inspirations), typography style, and the signature 'vibe' of the physical space.</instructions><output_format>Brand book chapter outline.</output_format><constraints>Do not design a logo; define the creative parameters that guide a designer.</constraints></output>"
concept for a futuristic museum,creative,"<thinking>A futuristic museum concept should explore high-tech interactive exhibits and speculative curation (e.g., historical artifacts of the early digital era).</thinking> <output><role>Experience Designer & Futurist</role><task>Develop a concept for the 'Museum of Extinct Technologies'.</task><instructions>Describe 3 key exhibits (e.g., a physical smartphone, a mechanical hard drive) and how futuristic visitors interact with them using neural links or holographic projection.</instructions><output_format>Curator's exhibition guide.</output_format><constraints>Ensure the tone is educational yet slightly melancholic about the past.</constraints></output>"
tagline for a meditation app,creative,"<thinking>Meditation app taglines must communicate calm, focus, and clarity in very few words. Guide the model to explore linguistic patterns.</thinking> <output><role>Linguistic Copywriter</role><task>Generate taglines for a mindfulness application.</task><instructions>Write 6 taglines exploring different styles: alliteration, paradox, ultra-short, and verb-led. Explain the cognitive impact of each phrase.</instructions><output_format>Analytical brand copy proposal.</output_format><constraints>Avoid cliché phrases like 'breathe in, breathe out'.</constraints></output>"
describe a magical artifact,creative,"<thinking>A magical artifact needs physical weight, history, and a double-edged cost to its power to feel interesting and original.</thinking> <output><role>Fantasy Lore Designer</role><task>Describe a relic known as the 'Hourglass of Unspent Grief'.</task><instructions>Describe its material, how it is activated, the magic it commands (reversing time by reliving painful memories), and the physiological cost of using it.</instructions><output_format>Item description for a dark fantasy setting.</output_format><constraints>Avoid generic 'overpowered' magic; the artifact must have a distinct limitation and cost.</constraints></output>"
speech outline for new year,creative,"<thinking>A speech outline needs structured rhetorical devices (anaphora, contrast), emotional pacing, and a clear unifying metaphor.</thinking> <output><role>Executive Speechwriter</role><context>An address to a tech company's employees looking back at a hard year and forward to change.</context><task>Write a speech outline and opening hook.</task><instructions>Provide an outline with timing, key themes, emotional targets, and the full text of the first 2 minutes of the speech using a strong central metaphor.</instructions><output_format>Rhetorical speech brief.</output_format><constraints>Do not write a generic motivational speech. Root it in realistic challenges.</constraints></output>"
brainstorm name for workspace tool,creative,"<thinking>Names for digital collaboration tools should evoke clean workspace organization, seamlessness, and focus.</thinking> <output><role>Creative Branding Specialist</role><context>A tool that merges markdown notes with calendar events.</context><task>Brainstorm names for a calendar-note productivity app.</task><instructions>Suggest 6 names based on nature, geometry, or classical concepts. Include domain availability strategy and logo concept sketch description for each.</instructions><output_format>Structured naming presentation.</output_format><constraints>Avoid appending '-ly' or '-ify' to words; choose organic or compound terms.</constraints></output>"
sci-fi weapon description,creative,"<thinking>A sci-fi weapon description should be grounded in speculative physics and operational detail to make it believable, rather than just magic lasers.</thinking> <output><role>Weapons System Concept Designer</role><task>Describe the mechanics of a localized gravity-well projector.</task><instructions>Explain how the weapon draws power, its physical interface, the visual and physical disruption caused when fired, and its tactical drawbacks.</instructions><output_format>Technical manual entry with a narrative introduction.</output_format><constraints>Do not write pure action prose; focus on design, physics, and ergonomics.</constraints></output>"
idea for a puzzle game mechanic,creative,"<thinking>A game mechanic should be easy to understand but offer high emergent complexity. Guide the model to define the gameplay loop.</thinking> <output><role>Lead Game Designer</role><task>Design a spatial puzzle mechanic based on shifting gravity.</task><instructions>Define the core rules, control inputs, how it generates complexity across levels, and a sample puzzle scenario.</instructions><output_format>Game design document (GDD) snippet.</output_format><constraints>Ensure the mechanic is original and explainable in 3 simple rules.</constraints></output>"
social media caption for travel,creative,"<thinking>Travel captions on social media often sound generic. Guide the model to build an micro-narrative that tells a small story rather than just using emojis.</thinking> <output><role>Social Media Storyteller</role><context>A photo of a hidden mountain lake at sunrise after a long hike.</context><task>Write an engaging micro-narrative caption.</task><instructions>Provide 3 options: an evocative story-driven caption (80 words), a minimalist reflection (15 words), and a curiosity hook (30 words).</instructions><output_format>Captions with targeted hashtags and formatting.</output_format><constraints>No overly optimistic travel blogger platitudes. Keep it grounded.</constraints></output>"
describe a hidden forest temple,creative,"<thinking>A hidden temple should feel ancient, overgrown, and sacred. Focus on light, architecture merging with nature, and silent atmosphere.</thinking> <output><role>Environmental Concept Writer</role><task>Describe a ruined sanctuary inside an ancient redwood forest.</task><instructions>Focus on the relationship between stone and roots. Describe how light breaks through the canopy, the wildlife that has claimed the space, and the emotional effect of the silence.</instructions><output_format>Atmospheric descriptive text.</output_format><constraints>Avoid generic fantasy combat hints. Focus on tranquility and decay.</constraints></output>"
write an elevator pitch for VR gym,creative,"<thinking>An elevator pitch needs a hook, a clear problem statement (boredom in cardio), a solution (gamified VR fitness), and a target demographic.</thinking> <output><role>Pitch Coach & Startup Advisor</role><task>Draft a 60-second elevator pitch for a VR fitness franchise.</task><instructions>Structure the pitch into: The Hook, The Pain Point, The Innovation, The Business Case, and The Call to Action. Use active, persuasive language.</instructions><output_format>Spoken-word script format with physical cue suggestions.</output_format><constraints>Keep the word count under 150 words to fit a 60-second delivery.</constraints></output>"
concept for a time-travel movie,creative,"<thinking>Time travel concepts are often plagued by paradoxes. A creative twist should focus on the psychological impact of travel, not just technology.</thinking> <output><role>Screenwriter & Director</role><task>Pitch a high-concept time-travel film.</task><instructions>Outline the central premise (e.g., travel is one-way and you only go back 5 minutes), the protagonist's core conflict, and a dramatic turning point.</instructions><output_format>Film pitch deck executive summary.</output_format><constraints>Avoid typical save-the-world time travel plots. Focus on localized, intimate stakes.</constraints></output>"
intro for a podcast about history,creative,"<thinking>A podcast intro needs a compelling hook, setting of the show's theme, and sonic pacing notes.</thinking> <output><role>Podcast Producer & Copywriter</role><context>A narrative history podcast exploring the forgotten failures of famous inventors.</context><task>Write the introductory script for episode 1.</task><instructions>Create a script that starts with a dramatic scene-setting, introduces the show's premise, and has cues for music swells and sound effects.</instructions><output_format>Audio script with sound direction cues.</output_format><constraints>Keep the tone mysterious and intellectual, avoiding standard radio announcer styles.</constraints></output>"
tagline for a sustainable fashion brand,creative,"<thinking>Sustainable fashion taglines need to avoid greenwashing and instead promise quality, durability, and modern style.</thinking> <output><role>Sustainability Copywriter</role><task>Create brand taglines for organic cotton apparel.</task><instructions>Provide 5 options highlighting different value propositions (e.g., durability, minimal footprint, timeless design). Explain the positioning of each.</instructions><output_format>Copywriting options list.</output_format><constraints>Do not use clichés like 'save the planet' or 'eco-friendly'.</constraints></output>"
describe a solar punk community,creative,"<thinking>Solar punk focuses on a sustainable, technologically integrated future. Describe the harmony between high tech (solar glass, community grids) and nature.</thinking> <output><role>Utopian Fiction Author</role><task>Describe a day in the life of a solar punk neighborhood.</task><instructions>Focus on the community infrastructure, food systems, local governance, and visual integration of solar technology with architectural flora.</instructions><output_format>Narrative description.</output_format><constraints>Avoid dystopian warnings; focus entirely on active, healthy adaptation.</constraints></output>"
